x,y,z,theta
16,15,5,-0.32
15,17,5,-3.08
11,13,5,0.41
18,14,5,-1.67
17,10,5,0.08
16,20,5,2.7
11,16,5,-0.85
12,18,5,1.81
16,16,5,0.03
17,17,5,-1.86
19,11,5,1.05
13,10,5,-1.42
10,12,5,1.57
11,10,5,-0.6
20,14,5,2.38
10,11,5,-0.58
19,14,5,-2.74
12,19,5,-2.5
18,13,5,-1.12
10,11,5,0.22
19,14,5,2.54
17,14,5,1.88
11,13,5,0.64
20,12,5,2.7
11,15,5,-0.12
10,16,5,0.84
19,16,5,-1.31
15,20,5,2.22
18,19,5,2.88
13,16,5,-2.92
10,12,5,0.93
13,18,5,-2.79
10,18,5,-1.18
16,10,5,0.44
12,11,5,0.53
12,20,5,-0.48
11,15,5,-1.11
10,12,5,2.76
14,10,5,0.81
11,11,5,-0.85
15,17,5,0.32
10,17,5,-0.93
20,19,5,0.84
14,16,5,-0.64
15,15,5,-2.19
11,18,5,-2.23
13,15,5,-1.31
17,11,5,1.61
13,11,5,-1.23
10,14,5,-1.01
13,20,5,3.05
14,19,5,0.38
17,19,5,-1.24
13,12,5,1.75
16,16,5,-1.51
15,17,5,2.51
20,10,5,0.66
16,13,5,3.02
12,18,5,-0.49
14,12,5,-3.07
15,18,5,1.11
20,17,5,0.41
18,19,5,0.95
11,16,5,2.99
10,16,5,-2.92
19,12,5,-1.81
20,14,5,-0.55
16,10,5,-1.41
20,13,5,-2.7
17,11,5,0.96
18,15,5,-2.46
17,19,5,0.4
12,10,5,0.24
14,19,5,-0.19
15,12,5,-2.18
19,13,5,-2.76
18,19,5,-3.07
20,16,5,0.42
12,20,5,-2.62
10,15,5,1.0
17,20,5,-0.86
18,17,5,-2.77
18,11,5,1.88
16,16,5,-0.52
10,16,5,-1.37
20,12,5,-2.2
14,10,5,-1.2
11,19,5,0.54
15,13,5,2.13
10,10,5,-1.45
13,11,5,3.02
11,20,5,2.45
17,20,5,3.02
12,17,5,1.0
14,15,5,-2.23
17,17,5,-0.83
16,11,5,1.95
10,12,5,-2.29
18,19,5,1.53
10,20,5,-0.14
20,13,5,0.81
17,12,5,0.02
16,13,5,1.04
14,16,5,2.22
11,19,5,-3.08
12,16,5,-1.37
18,12,5,2.04
16,17,5,0.58
10,16,5,-2.2
14,19,5,-0.94
13,17,5,-2.87
15,18,5,-2.47
10,15,5,0.81
13,18,5,-1.2
16,16,5,2.83
11,16,5,-2.23
13,13,5,2.96
11,20,5,2.87
16,19,5,-1.5
15,14,5,-0.88
12,10,5,-0.64
17,17,5,2.26
15,11,5,0.87
14,12,5,-0.47
20,19,5,-2.72
17,18,5,-0.6
10,19,5,0.26
17,20,5,2.49
11,13,5,-0.49
13,20,5,1.21
20,13,5,2.64
10,12,5,2.04
17,12,5,-0.43
11,11,5,0.61
15,11,5,-2.51
19,17,5,1.29
16,11,5,0.74
14,13,5,-1.49
11,15,5,-0.71
12,12,5,0.82
13,19,5,-1.48
19,16,5,0.53
17,18,5,1.95
13,11,5,-0.05
17,12,5,-1.64
13,14,5,-1.28
14,18,5,-0.11
10,12,5,2.9
10,10,5,-1.8
10,15,5,1.94
11,16,5,2.44
16,14,5,0.69
15,18,5,0.79
11,11,5,2.85
12,15,5,-1.83
20,12,5,-0.92
19,18,5,1.11
12,10,5,-1.15
16,12,5,0.05
19,16,5,1.91
15,15,5,0.74
11,17,5,-2.69
15,18,5,0.1
16,19,5,-0.64
12,10,5,-0.36
19,11,5,-2.41
10,16,5,1.32
16,14,5,0.25
18,14,5,-2.57
19,13,5,-0.55
12,14,5,-2.54
16,18,5,1.75
11,14,5,-0.73
12,20,5,-0.85
14,15,5,3.05
17,19,5,-1.52
10,11,5,-2.29
16,16,5,2.74
14,18,5,-2.99
11,13,5,1.61
